"ANO","NOME","GP","PODIUMS","EQUIPE","POLE_POSITIONS","VOLTAS"
"2000","Rubens Barrichello","17","9","Ferrari","1","939"
"2001","Rubens Barrichello","17","10","Ferrari","0","928"
"2002","Rubens Barrichello","15","10","Ferrari","3","822"
"2003","Rubens Barrichello","16","8","Ferrari","3","767"
"2004","Rubens Barrichello","18","14","Ferrari","4","1107"
"2005","Rubens Barrichello","19","4","Ferrari","0","1122"
"2006","Rubens Barrichello","18","0","Honda","0","972"
"2007","Rubens Barrichello","17","0","Honda","0","948"
"2008","Rubens Barrichello","18","1","Honda","0","987"
"2009","Rubens Barrichello","17","6","Mercedes","1","977"
"2010","Rubens Barrichello","19","0","Williams","0","1030"
"2011","Rubens Barrichello","19","0","Williams","0","1030"
